"FORWARDS (13 - $43,967,333)",YEARS REMAINING,TERMS,POS,STATUS,AGE,2020-21,2021-22,2022-23,2023-24,2024-25,2025-26,2026-27
"Aho, Sebastian",4 UFA,,"C, LW",NHL,23,"$8,454,000$8,454,000$10,570,000$9,870,000","$8,454,000$8,454,000$7,700,000$6,950,000","$8,454,000$8,454,000$6,000,000$5,250,000","$8,454,000$8,454,000$6,000,000$5,250,000",UFA,,
"Staal, Jordan ""C""",3 UFA,NMC,"C, LW",NHL,32,"$6,000,000$6,000,000$6,000,000NMC","$6,000,000$6,000,000$6,000,000NMC","$6,000,000$6,000,000$6,000,000NMC",UFA,,,
"Teräväinen, Teuvo",4 UFA,,"RW, LW",NHL,26,"$5,400,000$5,400,000$4,250,000","$5,400,000$5,400,000$5,875,000","$5,400,000$5,400,000$4,750,000M-NTC","$5,400,000$5,400,000$5,875,000M-NTC",UFA,,
"Niederreiter, Nino",2 UFA,,"LW, RW",NHL,28,"$5,250,000$5,250,000$4,250,000","$5,250,000$5,250,000$5,475,000",UFA,,,,
"Trocheck, Vincent",2 UFA,,"C, RW",NHL,27,"$4,750,000$4,750,000$3,500,000","$4,750,000$4,750,000$6,250,000",UFA,,,,
"Dzingel, Ryan",1 UFA,,"LW, RW, C",NHL,28,"$3,375,000$3,375,000$3,500,000",UFA,,,,,
"Foegele, Warren",1 RFA,,LW,NHL,24,"$2,150,000$2,150,000$2,150,000",RFA,,,,,
"McGinn, Brock",1 UFA,,"LW, RW",NHL,26,"$2,100,000$2,100,000$2,300,000",UFA,,,,,
"Martinook, Jordan ""A""",1 UFA,,"C, LW, RW",NHL,28,"$2,000,000$2,000,000$2,150,000",UFA,,,,,
"Fast, Jesper",3 UFA,,RW,NHL,29,"$2,000,000$2,000,000$1,000,000","$2,000,000$2,000,000$2,000,000","$2,000,000$2,000,000$3,000,000",UFA,,,
"Svechnikov, Andrei",1 RFA,ELC,"LW, RW",NHL,20,"$925,000$3,575,000$925,000$2,650,000$92,500",RFA,,,,,
"Necas, Martin",2 RFA,ELC ,"C, RW",NHL,21,"$863,333$1,400,833$832,500$537,500","$863,333$1,400,833$832,500$537,500",RFA,,,,
"Shore, Drew",1 UFA,,C,NHL,29,"$700,000$700,000$700,000",UFA,,,,,
TOTAL,,,,,26.2,"$43,967,333$47,154,833$42,127,500$3,187,500$9,962,5001","$32,717,333$33,254,833$34,132,500$537,500$6,950,0001","$21,854,000$21,854,000$19,750,000$5,250,0002","$13,854,000$13,854,000$11,875,000$5,250,0001",,,
,
